"id","download_timestamp","api_timestamp","gtfs_version","incrementality","alert_id","effect","active_start","active_end","status","header_cat","header_es","header_en","description_cat","description_es","description_en","url_cat","url_es","url_en","created_at","updated_at"
772,2025-10-18 09:08:05.827 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"209980",DETOUR,2025-10-18 04:05:00.000 +0200,2025-10-29 01:59:00.000 +0100,ACTIVE,Parada anul·lada provisionalment als carrers Torras i Bages i Pug Castellar,Parada anulada provisionalmente en la calle Torras i Bages i calle Puig Castellar,Parada anul·lada provisionalment als carrers Torras i Bages i Pug Castellar,"A partir de dimarts 14 d’octubre de 2025 i fins nou avís, parades Font de Sant Josep i Puig Castellar de Sant Vicenç dels Horts anul·lades provisionalment. ","A partir del martes 14 de octubre de 2025 y hasta nuevo aviso, paradas Font de Sant Josep i Puig Castellar de Sant Vicenç dels Horts anulada provisionalmente. ","A partir de dimarts 14 d’octubre de 2025 i fins nou avís, parades Font de Sant Josep i Puig Castellar de Sant Vicenç dels Horts anul·lades provisionalment. ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=26004&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=26004&idioma=1,2025-10-15 09:08:05.827 +0200,2025-10-15 09:19:04.945 +0200
773,2025-10-15 09:08:05.843 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"209978",OTHER_EFFECT,2025-10-15 04:00:00.000 +0200,2025-10-16 03:59:00.000 +0200,ACTIVE,Convocatòria de vaga general,Convocatoria de huelga general,Convocatòria de vaga general,"A causa de la convocatòria de vaga general prevista per al dimecres 15 d’octubre de 2025, el servei d’autobusos pot veure’s alterat durant tota la jornada. Preguem disculpeu les molèsties i us recomanem planificar els desplaçaments amb antelació. ","A causa de la convocatoria de huelga general prevista para el miércoles 15 de octubre de 2025, el servicio de autobuses puede verse alterado durante toda la jornada. Rogamos disculpad las molestias y os recomendamos planificar los desplazamientos con antelación. ","A causa de la convocatòria de vaga general prevista per al dimecres 15 d’octubre de 2025, el servei d’autobusos pot veure’s alterat durant tota la jornada. Preguem disculpeu les molèsties i us recomanem planificar els desplaçaments amb antelació. ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=26002&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=26002&idioma=1,2025-10-15 09:08:05.843 +0200,2025-10-15 09:19:04.957 +0200
774,2025-10-15 09:08:06.373 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"209977",DETOUR,2025-10-01 04:00:00.000 +0200,,ACTIVE_OLD,Seminormalització a la Via Laietana afectant parades,Seminormalización en la Via Laietana afectando paradas,Seminormalització a la Via Laietana afectant parades,"A partir del dilluns 13 d'octubre de 2025, es modifica el recorregut provisional pel tall a la Via Laietana de Barcelona (recordem que aquesta via es trobava en obres des del 2022). Les línies seran desviades tal i com s’indica al plànol següent: ","A partir del lunes 13 de octubre de 2025, se modifica el recorrido provisional por el corte en la Vía Laietana de Barcelona (recordamos que esta vía se encontraba en obras desde 2022). Las líneas serán desviadas tal y como se indica en el plano siguiente: ","A partir del dilluns 13 d'octubre de 2025, es modifica el recorregut provisional pel tall a la Via Laietana de Barcelona (recordem que aquesta via es trobava en obres des del 2022). Les línies seran desviades tal i com s’indica al plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25999&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25999&idioma=1,2025-10-15 09:08:06.373 +0200,2025-10-15 09:19:04.968 +0200
433,2025-10-06 14:16:23.733 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"193624",DETOUR,2024-06-10 04:00:00.000 +0200,2025-10-31 09:00:00.000 +0100,ACTIVE,Desviament provisional a l'avinguda Generalitat afectant parades,Desvío provisional en la avenida Generalitat afectando paradas,Desviament provisional a l'avinguda Generalitat afectant parades,"A partir de dilluns 10 de juny de 2024 i fins a nou avís, es modifica el recorregut habitual a l'avinguda Generalitat de Santa Coloma de Gramenet amb l'anul·lació provisional de les parades afectades. Parades alternatives: - 112477 Pg. Salzereda - 112478 Pg. Salzereda  - 100877 Parc del Molinet  - 112476 Pg. Salzereda - 100876 Hospital Esperit Sant - Pont del Molinet La línia serà desviada tal i com s'indica al plànol següent: ","A partir del lunes 10 de junio de 2024 y hasta nuevo aviso, se modifica el recorrido habitual en la avenida Generalitat de Santa Coloma de Gramenet con la anulación provisional de las paradas afectadas. Paradas alternativas: - 112477 Pg. Salzereda - 112478 Pg. Salzereda  - 100877 Parc del Molinet  - 112476 Pg. Salzereda - 100876 Hospital Esperit Sant - Pont del Molinet La linea será desviada tal y como se indica en el siguiente plano: ","A partir de dilluns 10 de juny de 2024 i fins a nou avís, es modifica el recorregut habitual a l'avinguda Generalitat de Santa Coloma de Gramenet amb l'anul·lació provisional de les parades afectades. Parades alternatives: - 112477 Pg. Salzereda - 112478 Pg. Salzereda  - 100877 Parc del Molinet  - 112476 Pg. Salzereda - 100876 Hospital Esperit Sant - Pont del Molinet La línia serà desviada tal i com s'indica al plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=23170&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=23170&idioma=1,2025-10-06 14:16:23.733 +0200,2025-10-15 09:19:01.262 +0200
436,2025-10-06 14:16:23.925 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"205026",OTHER_EFFECT,2025-07-22 02:00:00.000 +0200,2030-01-01 01:59:00.000 +0100,ACTIVE,Parada anul·lada provisionalment a la plaça Espanya,Parada anulada provisionalmente en la Plaça Espanya,Parada anul·lada provisionalment a la plaça Espanya,A partir de la nit de dilluns 21 a dimarts 22 de juliol de 2025 s’anul·la la provisionalment la parada 003247 Gran Via - Pl Espanya de Barcelona. Les línies no veuran alterat el seu recoregut tal com es mostra al plànol següent: ,A partir de la noche del lunes 21 al martes 22 de julio de 2025 se anula la provisionalmente la parada 003247 Gran Via - Pl Espanya de Barcelona. Las líneas no verán alterado su recorrido tal y como se muestra en el plano siguiente: ,A partir de la nit de dilluns 21 a dimarts 22 de juliol de 2025 s’anul·la la provisionalment la parada 003247 Gran Via - Pl Espanya de Barcelona. Les línies no veuran alterat el seu recoregut tal com es mostra al plànol següent: ,"",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25623&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25623&idioma=1,2025-10-06 14:16:23.925 +0200,2025-10-15 09:19:01.288 +0200
438,2025-10-06 14:16:23.976 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209812",OTHER_EFFECT,2024-02-03 02:00:00.000 +0100,,ACTIVE_OLD,Desviament provisional a la carretera d'Esplugues afectant parades,Desvío provisional a la carretera de Esplugues afectando paradas,Desviament provisional a la carretera d'Esplugues afectant parades,"A partir de dissabte 3 de febrer de 2024 i fins a nou avís, es modifica el recorregut habitual a la carretera d'Esplugues de Cornellà de Llobregat amb l'anul·lació provisional de les parades afectades. Aquesta afectació romandrà vigent tots els caps de setmana i festius en el següent horari: Dissabte a partir de les 8:00 i fins diumenge a les 21:00 hores i festius des de les 08:00 fins a les 21:00 hores. Parades alternatives: -112252 Intercanviador Cornellà Centre -008503 Ctra. d'Esplugues, 14 -008479 <M> Cornellà Centre Les línies seran desviades tal i com s'indica al plànol següent: ","A partir del sábado 3 de febrero de 2024 y hasta nuevo aviso, se modifica el recorrido habitual en la carretera de Esplugues de Cornellà de Llobregat con la anulación provisional de las paradas afectadas. Esta afectación permanecerá vigente todos los fines de semana y festivos en el siguiente horario: Sábado a partir de las 8:00 y hasta el domingo a las 21:00 horas y festivos desde las 08:00 hasta las 21:00 horas. Paradas alternativas: -112252 Intercanviador Cornellà Centre -008503 Ctra. d'Esplugues, 14 -008479 <M> Cornellà Centre Las líneas serán desviadas tal y como se indica en el plano siguiente: ","A partir de dissabte 3 de febrer de 2024 i fins a nou avís, es modifica el recorregut habitual a la carretera d'Esplugues de Cornellà de Llobregat amb l'anul·lació provisional de les parades afectades. Aquesta afectació romandrà vigent tots els caps de setmana i festius en el següent horari: Dissabte a partir de les 8:00 i fins diumenge a les 21:00 hores i festius des de les 08:00 fins a les 21:00 hores. Parades alternatives: -112252 Intercanviador Cornellà Centre -008503 Ctra. d'Esplugues, 14 -008479 <M> Cornellà Centre Les línies seran desviades tal i com s'indica al plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=22243&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=22243&idioma=1,2025-10-06 14:16:23.976 +0200,2025-10-15 09:19:01.300 +0200
453,2025-10-06 14:16:24.439 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209779",DETOUR,2025-06-18 12:00:00.000 +0200,,ACTIVE_OLD,Desviament provisional al carrer Bonaventura Calopa afectant parades,Desvío provisional en la calle Bonaventura Calopa afectando paradas,Desviament provisional al carrer Bonaventura Calopa afectant parades,"A partir de dimecres 18 de juny de 2025 des de les 08:00 hores i fins a nou avís, es modifica el recorregut habitual al carrer Bonaventura Calopa de Sant Boi de Llobregat amb l'anul·lació provisional de les parades afectades. Les línies seran desviades tal i com s'indica al plànol següent: ","A partir del miércoles 18 de junio de 2025 desde las 08:00 horas y hasta nuevo aviso, se modifica el recorrido habitual en la calle Bonaventura Calopa de Sant Boi de Llobregat con la anulación provisional de las paradas afectadas. Las lineas serán desviadas tal y como se indica en el siguiente plano: ","A partir de dimecres 18 de juny de 2025 des de les 08:00 hores i fins a nou avís, es modifica el recorregut habitual al carrer Bonaventura Calopa de Sant Boi de Llobregat amb l'anul·lació provisional de les parades afectades. Les línies seran desviades tal i com s'indica al plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25440&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25440&idioma=1,2025-10-06 14:16:24.439 +0200,2025-10-15 09:19:01.447 +0200
468,2025-10-06 14:16:24.891 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209756",DETOUR,2025-10-01 16:45:00.000 +0200,,ACTIVE_OLD,Desviament provisional al carrer Baldomer Solà afectant parades,Desvío provisional en la calle Baldomer Solà afectando paradas,Desviament provisional al carrer Baldomer Solà afectant parades,"A partir de dimarts 1 d’octubre de 2025 a les 12:45 i fins a nou avís, es modifica el recorregut habitual al carrer Baldomer Solà de Badalona amb l’anul·lació provisional de les parades afectades. Parades alternatives: - 108824 Pep Ventura  - 100795 Martí Pujol - Mercat Maignon Les línies seràn desviades tal i com s'indica en el plànol següent:  ","A partir del martes 1 de octubre de 2025 a las 12:45 y hasta nuevo aviso, se modifica el recorrido habitual en la calle Baldomer Solà de Badalona con la anulación provisional de las paradas afectadas. Paradas alternativas: - 108824 Pep Ventura  - 100795 Martí Pujol - Mercat Maignon Las lineas serán desviadas tal y como se indica en el siguiente plano: ","A partir de dimarts 1 d’octubre de 2025 a les 12:45 i fins a nou avís, es modifica el recorregut habitual al carrer Baldomer Solà de Badalona amb l’anul·lació provisional de les parades afectades. Parades alternatives: - 108824 Pep Ventura  - 100795 Martí Pujol - Mercat Maignon Les línies seràn desviades tal i com s'indica en el plànol següent:  ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25927&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25927&idioma=1,2025-10-06 14:16:24.891 +0200,2025-10-15 09:19:01.561 +0200
498,2025-10-06 14:16:25.577 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209807",OTHER_EFFECT,2024-09-02 04:00:00.000 +0200,,ACTIVE_OLD,Trasllat provisional de parada a la carretera BV-2007,Traslado provisional de parada en la carretera BV-2007,Trasllat provisional de parada a la carretera BV-2007,"A partir de dilluns 2 de setembre de 2024 i fins a nou avís, es trasllada provisionalment la parada BV-2007 - Ctra. Santa Maria de Cervelló.  L'itinerari de la linia no queda afectat tal i com s'indica al plànol següent:     ","A partir del lunes 2 de septiembre de 2024 y hasta nuevo aviso, se traslada provisionalmente la parada BV-2007 - Ctra. Santa Maria de Cervelló.  El itinerario de la linea no queda afectando tal y como se indica en el siguiente plano:   ","A partir de dilluns 2 de setembre de 2024 i fins a nou avís, es trasllada provisionalment la parada BV-2007 - Ctra. Santa Maria de Cervelló.  L'itinerari de la linia no queda afectat tal i com s'indica al plànol següent:     ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=23599&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=23599&idioma=1,2025-10-06 14:16:25.577 +0200,2025-10-15 09:19:01.806 +0200
502,2025-10-06 14:16:25.725 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209817",DETOUR,2022-10-18 18:00:00.000 +0200,,ACTIVE_OLD,Trasllat provisional de parada a l'avinguda Sant Ildefons,Traslado provisional de parada en la avenida Sant Ildefons,Trasllat provisional de parada a l'avinguda Sant Ildefons,"A partir de dimarts 18 d'octubre i fins a nou avís, es trasllada provisionalment la parada Sant Ildefons de Cornellà de Llobregat uns metres tal i com s'indica al plànol següent. La parada 003038 Av del Baix Llobregat - Sant Antoni Maria Claret continua anul·lada ","A partir del martes 18 de octubre y hasta nuevo aviso, se traslada provisionalmente la parada Sant Ildefons de Cornellà de Llobregat unos metros tal y como se indica en el mapa siguiente. La parada 003038 Av del Baix Llobregat - Sant Antoni Maria Claret continúa anulada. ","A partir de dimarts 18 d'octubre i fins a nou avís, es trasllada provisionalment la parada Sant Ildefons de Cornellà de Llobregat uns metres tal i com s'indica al plànol següent. La parada 003038 Av del Baix Llobregat - Sant Antoni Maria Claret continua anul·lada ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=19362&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=19362&idioma=1,2025-10-06 14:16:25.725 +0200,2025-10-15 09:19:01.878 +0200
329,2025-10-06 14:16:22.044 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"206336",NO_SERVICE,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","","","",2025-10-06 14:16:22.044 +0200,2025-10-15 09:19:01.955 +0200
402,2025-10-06 14:16:23.031 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"206340",NO_SERVICE,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","","","",2025-10-06 14:16:23.031 +0200,2025-10-15 09:19:02.042 +0200
424,2025-10-06 14:16:23.495 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"193613",DETOUR,2025-09-19 04:01:00.000 +0200,2027-09-20 03:59:00.000 +0200,ACTIVE,Desviament provisional a l'avinguda Traginers ,Desvío provisional en la avenida Traginers ,Desviament provisional a l'avinguda Traginers ,"A partir de divendres 19 de setembre i fins diumenge 21 de setembre de 2025, es modifica el desviament provisional a l’avinguda Traginers d’Esplugues de Llobregat amb la recuperació de la parada afectada. El proper dilluns 22 de setembre de 2025 i fins a nou avís, es recupera el desviament actual a l'avinguda Traginers amb l’anul·lació de la parada afectada. La línia (del 19 al 21 de setembre) quedarà desviada tal com s'indica en el plànol següent: ","A partir del viernes 19 de septiembre y hasta el domingo 21 de septiembre de 2025, se modifica el desvío provisional en la avenida Traginers de Esplugues de Llobregat con la recuperación de la parada afectada. El próximo lunes 22 de septiembre de 2025 y hasta nuevo aviso, se recupera el desvío actual de la avenida Traginers con la anulación provisional de la parada afectada. La línea (del 19 al 21 de septiembre) quedará desviada tal como se indica en el siguiente plano: ","A partir de divendres 19 de setembre i fins diumenge 21 de setembre de 2025, es modifica el desviament provisional a l’avinguda Traginers d’Esplugues de Llobregat amb la recuperació de la parada afectada. El proper dilluns 22 de setembre de 2025 i fins a nou avís, es recupera el desviament actual a l'avinguda Traginers amb l’anul·lació de la parada afectada. La línia (del 19 al 21 de setembre) quedarà desviada tal com s'indica en el plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25830&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25830&idioma=1,2025-10-06 14:16:23.495 +0200,2025-10-15 09:19:02.068 +0200
583,2025-10-15 09:08:03.055 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206336",NO_SERVICE,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","","","",2025-10-15 09:08:03.055 +0200,2025-10-15 09:19:03.012 +0200
432,2025-10-06 14:16:23.693 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"193623",DETOUR,2024-06-10 04:00:00.000 +0200,2025-10-31 09:00:00.000 +0100,ACTIVE,Desviament provisional a l'avinguda Generalitat afectant parades,Desvío provisional en la avenida Generalitat afectando paradas,Desviament provisional a l'avinguda Generalitat afectant parades,"A partir de dilluns 10 de juny de 2024 i fins a nou avís, es modifica el recorregut habitual a l'avinguda Generalitat de Santa Coloma de Gramenet amb l'anul·lació provisional de les parades afectades. Parades alternatives: - 105957 Metro Can Peixauet - 105958 Metro Can Peixauet  - 112476 Pg. Salzereda  La línia serà desviada tal i com s'indica al plànol següent:     ","A partir del lunes 10 de junio de 2024 y hasta nuevo aviso, se modifica el recorrido habitual en la avenida Generalitat de Santa Coloma de Gramenet con la anulación provisional de las paradas afectadas. Paradas alternativas: - 105957 Metro Can Peixauet - 105958 Metro Can Peixauet  - 112476 Pg. Salzereda  La linea será desviada tal y como se indica en el siguiente plano:   ","A partir de dilluns 10 de juny de 2024 i fins a nou avís, es modifica el recorregut habitual a l'avinguda Generalitat de Santa Coloma de Gramenet amb l'anul·lació provisional de les parades afectades. Parades alternatives: - 105957 Metro Can Peixauet - 105958 Metro Can Peixauet  - 112476 Pg. Salzereda  La línia serà desviada tal i com s'indica al plànol següent:     ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=23171&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=23171&idioma=1,2025-10-06 14:16:23.693 +0200,2025-10-15 09:19:02.101 +0200
445,2025-10-06 14:16:24.171 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209767",OTHER_EFFECT,2025-07-28 04:00:00.000 +0200,,ACTIVE_OLD,Parada anul·lada provisionalment al passeig de la Zona Franca,Parada anulada provisionalmente en el paseo de la zona Franca,Parada anul·lada provisionalment al passeig de la Zona Franca,A partir del dilluns 28 de juliol de 2025 i fins nou avís parada Pg. Zona Franca – Mineria de Barcelona anul·lada provisionalment. La línia no veurà alterat el seu recorregut habitual tal com es mostra al següent plànol:   ,A partir del lunes 28 de julio de 2025 y hasta nuevo aviso parada Pg. Zona Franca - Minería de Barcelona anulada provisionalmente. La línea no verá alterado su recorrido habitual tal y como se muestra en el siguiente plano: ,A partir del dilluns 28 de juliol de 2025 i fins nou avís parada Pg. Zona Franca – Mineria de Barcelona anul·lada provisionalment. La línia no veurà alterat el seu recorregut habitual tal com es mostra al següent plànol:   ,"",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25665&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25665&idioma=1,2025-10-06 14:16:24.171 +0200,2025-10-15 09:19:02.149 +0200
446,2025-10-06 14:16:24.189 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209770",DETOUR,2025-07-21 11:00:00.000 +0200,,ACTIVE_OLD,Desviament provisional a la plaça Espanya afectant parada,Desvío provisional en Plaça Espanya afectando parada,Desviament provisional a la plaça Espanya afectant parada,"A partir de diluns 21 de juliol de 2025 des de les 07:00 hores i fins nou avís, es modifica provisionalment el recorregut habitual a la plaça Espanya de Barcelona amb l'anul·lació provisional de la parada afectada. Les línies seran desviades tal com s'indica al plànol següent:   ","A partir del lunes 21 de julio de 2025 desde las 07:00 horas y hasta nuevo aviso, se modifica provisionalmente el recorrido habitual en la Plaça Espanya de Barcelona con la anulación provisional de la parada afectada. Las líneas serán desviadas tal y como se indica en el plano siguiente: ","A partir de diluns 21 de juliol de 2025 des de les 07:00 hores i fins nou avís, es modifica provisionalment el recorregut habitual a la plaça Espanya de Barcelona amb l'anul·lació provisional de la parada afectada. Les línies seran desviades tal com s'indica al plànol següent:   ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25624&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25624&idioma=1,2025-10-06 14:16:24.189 +0200,2025-10-15 09:19:02.161 +0200
478,2025-10-06 14:16:25.159 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209755",MODIFIED_SERVICE,2025-10-06 04:01:00.000 +0200,,ACTIVE_OLD,Modificació horaris JT,Modificación horaria JT,Modificació horaris JT,"A partir del dilluns 6 d’octubre de 2025 i de forma definitiva, es modifiquen els horaris de les següents sortides: Sentit Ajuntament: Sentit Basses de St. Pere: ","A partir del lunes 6 de octubre de 2025 y de forma definitiva, se modifican los horarios de les siguientes salidas: Sentit Ajuntament: Sentit Basses de St. Pere: ","A partir del dilluns 6 d’octubre de 2025 i de forma definitiva, es modifiquen els horaris de les següents sortides: Sentit Ajuntament: Sentit Basses de St. Pere: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25933&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25933&idioma=1,2025-10-06 14:16:25.159 +0200,2025-10-15 09:19:02.185 +0200
454,2025-10-06 14:16:24.458 +0200,2025-10-06 16:15:08.000 +0200,"2.0",FULL_DATASET,"209780",DETOUR,2025-06-10 10:00:00.000 +0200,,ACTIVE_OLD,Desviament provisional al carrer de Sants amb afectació de parades,Desvío provisional por obras en la calle de Sants con afectación de paradas,Desviament provisional al carrer de Sants amb afectació de parades,"A partir del dimarts 10 de juny de 2025 a les 06:00 hores i fins a la tardor de 2026, aproximadament, es modifica el recorregut habitual al carrer Sants de Santa Coloma de Gramenet per obres amb l’anul·lació de les parades afectades. Parades alternatives: 100261 Anselm de Riu - Montseny 100262 Anselm de Riu - Singuerlín 105689 Anselm de Riu - Font de l'Alzina 107387 Font de l'Alzina - Menéndez Pelayo Les linies seran desviades tal i com s'indica al plànol següent: "," A partir del martes 10 de junio de 2025 a las 06:00 horas y hasta otoño de 2026, aproximadamente, se modifica el recorrido habitual en la calle Sants por obras con la anulación de las paradas afectadas. Paradas alternativas: 100261 Anselm de Riu - Montseny 100262 Anselm de Riu - Singuerlín 105689 Anselm de Riu - Font de l'Alzina 107387 Font de l'Alzina - Menéndez Pelayo Las líneas quedarán desviadas tal y como se indica en el siguiente plano:       ","A partir del dimarts 10 de juny de 2025 a les 06:00 hores i fins a la tardor de 2026, aproximadament, es modifica el recorregut habitual al carrer Sants de Santa Coloma de Gramenet per obres amb l’anul·lació de les parades afectades. Parades alternatives: 100261 Anselm de Riu - Montseny 100262 Anselm de Riu - Singuerlín 105689 Anselm de Riu - Font de l'Alzina 107387 Font de l'Alzina - Menéndez Pelayo Les linies seran desviades tal i com s'indica al plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25393&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25393&idioma=1,2025-10-06 14:16:24.458 +0200,2025-10-15 09:19:02.226 +0200
591,2025-10-15 09:08:03.119 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206363",SIGNIFICANT_DELAYS,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.119 +0200,2025-10-15 09:19:03.084 +0200
